  MyForm.cpp
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(256,1): warning C4554: "|": проверьте приоритет операторов на ошибки; для уточнения приоритета используйте скобки
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(557,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(561,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(587,91): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(590,93): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(593,93): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(596,93): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(602,113): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(604,139): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(628,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
  MyForm.obj : обнаружен модуль MSIL; для MSIL последовательная компоновка отключена; выполняется полная компоновка
  our_calc.vcxproj -> C:\Users\Баклажан Баклажанов\source\repos\our_calc\Debug\our_calc.exe
